household;year;Aspiration_adaptation;Strategy_order;time_of_run;optimism;b_no;b_constant;remember_t3;remember_t2;remember_t1;income_outcome_t1start;income_outcome_t1end;income_outcome_t2;income_outcome_t3;leisure_outcome_t1start;leisure_outcome_t1end;leisure_outcome_t2;leisure_outcome_t3;food_outcome_t1start;food_outcome_t1end;food_outcome_t2;food_outcome_t3;satisficed;savings;value_of_consumed-products;food_purchases;costs_of_production;earnings_from_sales;maizecost;vegetablecost;coffeecost;supplementaryfeedcost;cowcost;maizesales;vegetablesales;coffeesales;buttersales;oxensales;bullsales;cowsales;test_maizecost;test_vegetablecost;test_coffeecost;test_feedcost;test_cowcost;test_maizesales;test_vegetablesales;test_coffeesales;test_buttersales;test_oxensales;test_bullsales;test_cowsales;income_threshold_mean;income_threshold_t1start;income_threshold_t1end;income_threshold_t2;income_threshold_t3;leisure_threshold_mean;leisure_threshold_t1start;leisure_threshold_t1end;leisure_threshold_t2;leisure_threshold_t3;food_threshold_mean;food_threshold_t1start;food_threshold_t1end;food_threshold_t2;food_threshold_t3;incomegap;leisuregap;foodgap;relativeimportanceincome;relativeimportanceleisure;relativeimportancefood;ew_income;ew_leisure;ew_food;chosen_strategy;income_expectation;leisure_expectation;food_expectation;maizeland;vegetableland;coffeeland;privatepasture;fallowland;farmland;unfertilisedland;moderatefertilisedland;highlyfertilisedland;veryhighlyfertilisedland;maizefertilisedland;vegetablefertilisedland;coffeefertilisedland;herd;on_supplementary_feed;adopted_feed
(household 10) ;0 ;no-experience ;defined-by-similarity ;04:19:10.112 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;16752 ;16752 ;16752 ;16752 ;4.75 ;4.75 ;4.75 ;4.75 ;21.7979998588562 ;21.7979998588562 ;21.7979998588562 ;21.7979998588562 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;16752 ;0 ;0 ;74476.18937827414 ;74476.18937827414 ;74476.18937827414 ;74476.18937827414 ;0 ;4.219954379381687 ;4.219954379381687 ;4.219954379381687 ;4.219954379381687 ;0 ;94.12453487871433 ;94.12453487871433 ;94.12453487871433 ;94.12453487871433 ;0 ;0 ;0 ;37.80487804878049 ;26.21951219512195 ;35.97560975609756 ;0 ;0 ;0 ;0 ;16752 ;12.34128113405279 ;16.75447409733124 ;1 ;0 ;0 ;2 ;0 ;3 ;0.162131136628571 ;0 ;0 ;0 ;0 ;0 ;0 ;9 ;0 ;0
(household 11) ;0 ;no-experience ;defined-by-similarity ;04:19:10.112 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;0 ;0 ;0 ;0 ;6.25 ;6.25 ;6.25 ;6.25 ;8.90200018882752 ;8.90200018882752 ;8.90200018882752 ;8.90200018882752 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;8051.287452528728 ;8051.287452528728 ;8051.287452528728 ;8051.287452528728 ;0 ;8.387403809646798 ;8.387403809646798 ;8.387403809646798 ;8.387403809646798 ;0 ;15.325181367467854 ;15.325181367467854 ;15.325181367467854 ;15.325181367467854 ;0 ;0 ;0 ;16.39344262295082 ;65.57377049180327 ;18.0327868852459 ;0 ;0 ;0 ;0 ;0 ;12.514127412896508 ;10.471546310832025 ;1 ;0 ;0 ;1 ;0 ;2 ;0.122432432711111 ;0 ;0 ;0 ;0 ;0 ;0 ;4 ;0 ;0
(household 12) ;0 ;no-experience ;defined-by-similarity ;04:19:10.112 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;0 ;0 ;0 ;0 ;20.25 ;20.25 ;20.25 ;20.25 ;14.2100001573563 ;14.2100001573563 ;14.2100001573563 ;14.2100001573563 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;125649.10866888144 ;125649.10866888144 ;125649.10866888144 ;125649.10866888144 ;0 ;20.782630385599983 ;20.782630385599983 ;20.782630385599983 ;20.782630385599983 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;0 ;0 ;3.125 ;10.416666666666668 ;86.45833333333334 ;0 ;0 ;0 ;0 ;0 ;19.11351985643048 ;9.424391679748823 ;1 ;0 ;0 ;0 ;0 ;1 ;0.0621862935333333 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0
(household 13) ;0 ;no-experience ;defined-by-similarity ;04:19:10.112 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;8730 ;8730 ;8730 ;8730 ;19.125 ;19.125 ;19.125 ;19.125 ;33.6559997797012 ;33.6559997797012 ;33.6559997797012 ;33.6559997797012 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;8730 ;0 ;0 ;0 ;80015.6948037837 ;80015.6948037837 ;80015.6948037837 ;80015.6948037837 ;0 ;22.621690577412867 ;22.621690577412867 ;22.621690577412867 ;22.621690577412867 ;0 ;52.67299535620167 ;52.67299535620167 ;52.67299535620167 ;52.67299535620167 ;0 ;0 ;0 ;22.17391304347826 ;41.30434782608695 ;36.52173913043478 ;0 ;0 ;0 ;0 ;8730 ;18.794953066254262 ;17.801628728414443 ;1 ;0 ;0 ;1 ;0 ;2 ;0.314539402796581 ;0 ;0 ;0 ;0 ;0 ;0 ;6 ;0 ;0
(household 14) ;0 ;no-experience ;defined-by-similarity ;04:19:10.112 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;8730 ;8730 ;8730 ;8730 ;5.25 ;5.25 ;5.25 ;5.25 ;37.3120000958443 ;37.3120000958443 ;37.3120000958443 ;37.3120000958443 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;8730 ;0 ;0 ;0 ;108288.3018718548 ;108288.3018718548 ;108288.3018718548 ;108288.3018718548 ;0 ;5.759502126122152 ;5.759502126122152 ;5.759502126122152 ;5.759502126122152 ;0 ;18.707707215990876 ;18.707707215990876 ;18.707707215990876 ;18.707707215990876 ;0 ;0 ;0 ;36.36363636363637 ;40.19138755980861 ;23.444976076555022 ;0 ;0 ;0 ;0 ;8730 ;19.09383928571429 ;13.613010204081633 ;0 ;0 ;0 ;1 ;0 ;1 ;0.0477437259222222 ;0 ;0 ;0 ;0 ;0 ;0 ;5 ;0 ;0
(household 15) ;0 ;no-experience ;defined-by-similarity ;04:19:10.113 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;71554.95022738172 ;71554.95022738172 ;71554.95022738172 ;71554.95022738172 ;-0.6346153846153877 ;-0.6346153846153877 ;-0.6346153846153877 ;-0.6346153846153877 ;8 ;8 ;8 ;8 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;71554.95022738172 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;207159.9679635865 ;207159.9679635865 ;207159.9679635865 ;207159.9679635865 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;30.028407702747877 ;30.028407702747877 ;30.028407702747877 ;30.028407702747877 ;0 ;0 ;0 ;26.31578947368421 ;46.889952153110045 ;26.794258373205743 ;0 ;0 ;0 ;0 ;71554.95022738172 ;1.622620544701459 ;5.72855180533752 ;2 ;0 ;0 ;0 ;0 ;2 ;2.75066001612843 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0
(household 16) ;0 ;no-experience ;defined-by-similarity ;04:19:10.113 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;405818.68332888355 ;405818.68332888355 ;405818.68332888355 ;405818.68332888355 ;4.625 ;4.625 ;4.625 ;4.625 ;41.6000008583069 ;41.6000008583069 ;41.6000008583069 ;41.6000008583069 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;6136.832146770493 ;0 ;0 ;13047.782427304806 ;366366.633592686 ;32541.099455663236 ;0 ;0 ;0 ;0 ;0 ;446738.6165213404 ;446738.6165213404 ;446738.6165213404 ;446738.6165213404 ;0 ;4.596122379094309 ;4.596122379094309 ;4.596122379094309 ;4.596122379094309 ;0 ;18.707154394752376 ;18.707154394752376 ;18.707154394752376 ;18.707154394752376 ;0 ;0 ;0 ;77.89473684210526 ;10.526315789473683 ;11.578947368421053 ;0 ;0 ;0 ;0 ;405818.68332888355 ;9.232047496289523 ;16.75447409733124 ;3 ;3 ;1 ;0 ;0 ;7 ;1.9255827256888902 ;0 ;0 ;0 ;0 ;0 ;0 ;4 ;0 ;0
(household 17) ;0 ;no-experience ;defined-by-similarity ;04:19:10.113 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;17106 ;17106 ;17106 ;17106 ;11.375 ;11.375 ;11.375 ;11.375 ;8 ;8 ;8 ;8 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;8730 ;8376 ;0 ;0 ;20959.910715090962 ;20959.910715090962 ;20959.910715090962 ;20959.910715090962 ;0 ;12.151369843124588 ;12.151369843124588 ;12.151369843124588 ;12.151369843124588 ;0 ;0.01 ;0.01 ;0.01 ;0.01 ;0 ;0 ;0 ;2.8846153846153846 ;85.57692307692307 ;11.538461538461538 ;0 ;0 ;0 ;0 ;17106 ;12.537714285714285 ;10.471546310832025 ;0 ;0 ;0 ;2 ;0 ;2 ;1.77209709742222 ;0 ;0 ;0 ;0 ;0 ;0 ;6 ;0 ;0
(household 18) ;0 ;no-experience ;defined-by-similarity ;04:19:10.113 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;8376 ;8376 ;8376 ;8376 ;2 ;2 ;2 ;2 ;16.0949993133544 ;16.0949993133544 ;16.0949993133544 ;16.0949993133544 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;8376 ;0 ;0 ;45583.62396393474 ;45583.62396393474 ;45583.62396393474 ;45583.62396393474 ;0 ;4.50750488231291 ;4.50750488231291 ;4.50750488231291 ;4.50750488231291 ;0 ;23.893820876354496 ;23.893820876354496 ;23.893820876354496 ;23.893820876354496 ;0 ;0 ;0 ;13.586956521739129 ;48.369565217391305 ;38.04347826086957 ;0 ;0 ;0 ;0 ;8376 ;12.4897798001572 ;14.660164835164835 ;1 ;0 ;0 ;2 ;0 ;3 ;0.156055965232653 ;0 ;0 ;0 ;0 ;0 ;0 ;5 ;0 ;0
(household 19) ;0 ;no-experience ;defined-by-similarity ;04:19:10.113 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;0 ;0 ;0 ;0 ;-0.125 ;-0.125 ;-0.125 ;-0.125 ;15 ;15 ;15 ;15 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;81927.14494982941 ;81927.14494982941 ;81927.14494982941 ;81927.14494982941 ;0 ;2.1143730718771447 ;2.1143730718771447 ;2.1143730718771447 ;2.1143730718771447 ;0 ;0.4517902209594098 ;0.4517902209594098 ;0.4517902209594098 ;0.4517902209594098 ;0 ;0 ;0 ;31.958762886597935 ;19.587628865979383 ;48.45360824742268 ;0 ;0 ;0 ;0 ;0 ;6.269285714285714 ;11.518700941915228 ;0 ;0 ;0 ;1 ;0 ;1 ;0.1489416992 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0
(household 20) ;0 ;no-experience ;defined-by-similarity ;04:19:10.114 PM 23-jun-2023 ;1.05 ;0.45 ;0.45 ;0.5 ;0.75 ;0.9 ;2420.139873391353 ;2420.139873391353 ;2420.139873391353 ;2420.139873391353 ;19.321428571428577 ;19.321428571428577 ;19.321428571428577 ;19.321428571428577 ;75 ;75 ;75 ;75 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;946.7099985601952 ;0 ;0 ;0 ;0 ;3366.8498719515483 ;0 ;0 ;0 ;0 ;0 ;111787.72749236182 ;111787.72749236182 ;111787.72749236182 ;111787.72749236182 ;0 ;17.690283092401057 ;17.690283092401057 ;17.690283092401057 ;17.690283092401057 ;0 ;39.77146358240398 ;39.77146358240398 ;39.77146358240398 ;39.77146358240398 ;0 ;0 ;0 ;63.12056737588653 ;25.53191489361702 ;11.347517730496454 ;0 ;0 ;0 ;0 ;2420.139873391353 ;18.45962801014877 ;16.200098116169546 ;3 ;0 ;1 ;2 ;0 ;6 ;0.2546174185916523 ;0 ;0 ;0 ;0 ;0 ;0 ;15 ;0 ;0
