57,16,-1,1,9.9,145,"house",9,7,0,2,10.7,0,0,0,0.26123237002449,3.72727272727273,0,0,189,4,5,5,7,3
70,-6,14,1,9.9,55,"house",3,1,0,2,5.32,2,1,1,0.602877157768807,3,0,0,40,1,3,2,1,4
20,-4,-10,1,9.9,278,"house",5,4,0,1,6.53231939163498,0,1.44486692015209,1.44486692015209,0.4465250976,1,13.6240001916885,0,113,2,5,2,3,5
10,-4,5,1,9.9,38,"house",2,0,0,2,2.04,0,1.5,1.5,0.230856513044898,1.79166666666667,8,0,50.75,2,2,3,3,0
51,-16,-12,1,9.9,247,"house",4,1,1,2,14.81,2,3,0,1.5395431152,3,65.7509981989862,60.7959982156755,27,3,3,3,2,1
18,-16,2,1,9.9,282,"house",5,3,0,2,2.36,0,1,1,0.1489416992,2,2.65799999237061,0,42,2,2,5,2,4
72,0,16,1,9.9,287,"house",4,1,0,3,3.05,0,2,1,0.116810787249231,2,8.45800012350082,5.95800018310547,80,3,5,5,4,5
9,-1,-6,1,9.9,94,"house",5,4,0,1,0,0,0,0,0.1489416992,1,15,0,57,5,3,3,5,2
30,11,9,1,9.9,192,"house",8,4,1,3,1.04,0,1,0,1.16269910694539,1,0,0,16,2,5,2,1,1
64,-2,-10,1,9.9,301,"house",2,1,0,1,3,0,0,0,0.174669551889231,3,17.4599996209145,17.4599996209145,98,1,2,5,6,5
61,8,-11,1,9.9,193,"house",7,5,0,2,8.82,2,2,2,0.162131136628571,3,21.7979998588562,21.7979998588562,74,5,1,4,7,4
56,-2,14,1,9.9,352,"house",4,2,0,2,3.82,1,2,2,0.122432432711111,2,8.90200018882752,8.90200018882752,62,4,0,9,5,1
88,7,-10,1,9.9,38,"house",3,0,0,3,0,0,0,0,0.0621862935333333,1,14.2100001573563,12.2100001573563,6,0,5,1,1,2
71,4,12,1,9.9,43,"house",7,4,0,3,5.76,2,1,1,0.314539402796581,2,33.6559997797012,0,15,2,3,2,5,6
80,10,4,1,9.9,321,"house",5,2,0,3,5.08,1,1,0,0.0477437259222222,1,37.3120000958443,17.2320002317429,126,3,1,6,1,5
0,6,-1,1,9.9,195,"house",2,0,1,1,1.78,0,1,0,2.75066001612843,2,8,3,61.0769230769231,2,3,2,2,2
59,-1,-15,1,9.9,271,"house",7,5,0,2,3.68,0,2,0,1.92558272568889,7,41.6000008583069,41.6000008583069,75,7,1,5,3,3
77,-9,-15,1,9.9,68,"house",4,2,0,2,5.8,2,1,0,1.77209709742222,2,8,8,21,4,2,5,5,5
29,-8,-4,1,9.9,220,"house",6,4,0,2,4.96,1,1,1,0.156055965232653,3,16.0949993133544,0,96,4,2,2,2,1
48,6,5,1,9.9,195,"house",5,4,0,1,0.12,0,0,0,0.1489416992,1,15,0,57,2,3,2,8,2
15,-4,13,1,9.9,14,"house",6,2,1,3,14.88,0,4,0,0.276799996726531,6.52272727272727,75,0,13.4285714285714,5,2,4,2,7
5,-11,-13,1,9.9,214,"house",1,0,1,0,0.85,0,0,0,0.960368699034114,2.5,1.44499999284744,0.444999992847443,13.3333333333333,2,2,4,3,0
54,11,-5,1,9.9,223,"house",4,1,1,2,3.96,2,1,0,0.287441997078899,2,4.47200015187263,4.47200015187263,54,4,2,4,5,1
3,-16,15,1,9.9,257,"house",6,3,0,3,0.2,0,0,0,0.230097116620408,1.70833333333333,4.25,0,62.25,4,2,4,4,4
11,-10,8,1,9.9,304,"house",4,2,0,2,0,0,0,0,3.71664453974047,1,15,0,1,2,3,4,2,6
55,5,-6,1,9.9,10,"house",3,0,0,3,0,0,0,0,0.164029627689796,1,9.96599984169008,9.96599984169008,5,2,3,3,1,0
73,9,-12,1,9.9,174,"house",2,0,1,1,6.89,2,3,1,1.16756942972907,3,5,0,7,2,2,3,2,3
7,-12,-5,1,9.9,288,"house",4,3,0,1,0.2,0,0,0,0.496696127700334,1.25,2.5,0,3,0,5,3,1,1
32,-3,-16,1,9.9,169,"house",5,1,0,4,3.83,0,1,1,2.62186207964682,3,40,26,19,4,2,6,1,3
66,-2,-1,1,9.9,49,"house",4,2,0,2,7.09,2,1,0,0.312949213702564,3,10.9559998512268,8.06799983978271,70,1,3,2,7,4
78,0,4,1,9.9,251,"house",2,1,0,1,1.41,0,1,1,1.67907550453333,5,19.1229998469353,14.1679998636246,4,1,1,1,4,3
52,13,-6,1,9.9,341,"house",2,0,0,2,2.82536585365854,0,0,0,0.5953667968,1,3.68800002336502,0,21,4,3,2,0,1
28,10,-9,1,9.9,53,"house",7,4,0,3,6.44,1,1,1,0.287051848457143,6,32,13,138,4,3,4,2,3
47,-14,0,1,9.9,106,"house",3,0,0,3,0,0,0,0,0.663177998613904,5,7,7,19,4,2,3,5,2
75,0,-13,1,9.9,198,"house",1,0,1,0,0,0,0,0,0.0700787081169231,3,1.27699998021126,0.444999992847443,79,2,1,5,1,0
67,-16,-14,1,9.9,159,"house",9,1,0,8,1.8,0,1,0,1.46268065131237,5,43,0,75,3,2,3,3,6
